,Unnamed: 0,Venue,Date,Year,Match No.,Innings No.,Batting Team,Bowling Team,Over,Striker,Non Striker,Bowler,Runs by Batsman,Extras,Total Runs (Ball),Runs Conceded by Bowler,Cumulative Runs by Batsman,Cumulative Runs Conceded by Bowler,Cumulative Team Runs,Winner,Win By Runs,Win By Wickets,Is Wicket,Wicket by Bowler,Cumulative Wickets by Bowler,Dismissal Kind,Player Out,Fielder (If Caught),Toss Winner,Toss Decision,Player of the Match
0,0,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.1,SC Ganguly,BB McCullum,P Kumar,0,{'legbyes': 1},1,0,0,0,1,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
1,1,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.2,BB McCullum,SC Ganguly,P Kumar,0,{},0,0,0,0,1,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
2,2,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.3,BB McCullum,SC Ganguly,P Kumar,0,{'wides': 1},1,1,0,1,2,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
3,3,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.4,BB McCullum,SC Ganguly,P Kumar,0,{},0,0,0,1,2,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
4,4,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.5,BB McCullum,SC Ganguly,P Kumar,0,{},0,0,0,1,2,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
5,5,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.6,BB McCullum,SC Ganguly,P Kumar,0,{},0,0,0,1,2,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
6,6,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,0.7,BB McCullum,SC Ganguly,P Kumar,0,{'legbyes': 1},1,0,0,1,3,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
7,7,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,1.1,BB McCullum,SC Ganguly,Z Khan,0,{},0,0,0,0,3,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
8,8,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,1.2,BB McCullum,SC Ganguly,Z Khan,4,{},4,4,4,4,7,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
9,9,"M.Chinnaswamy Stadium, Bengaluru",18-04-2008,2008,1,1,Kolkata Knight Riders,Royal Challengers Bangalore,1.3,BB McCullum,SC Ganguly,Z Khan,4,{},4,4,8,8,11,Kolkata Knight Riders,140,0,0,0,0,,,,Royal Challengers Bangalore,field,BB McCullum
